train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/critic_loss,rollout/ep_len_mean,train/learning_rate,train/ent_coef,time/episodes,time/fps,time/time_elapsed,train/n_updates,time/total_timesteps
942.9990844726562,-2.302585,-9.83487319946289,30956490.0,1309.75,0.0003,3.77876615524292,4,67,77,5138,5239
2345.86474609375,-2.302585,-13.159252166748047,63620144.0,1446.5,0.0003,22.80470085144043,8,72,159,11471,11572
9058.177734375,-2.236006583333334,-6.08793830871582,62257248.0,1673.75,0.0003,203.98910522460938,12,76,261,19984,20085
40619.16796875,-2.1165573125,-9.010550498962402,17917274.0,1643.0,0.0003,954.75927734375,16,71,368,26187,26288
205975.5625,-2.1108406,-12.166637420654297,1592740864.0,1702.4,0.0003,4352.2509765625,20,74,456,33947,34048
702523.1875,-2.051698083333333,-8.27109146118164,9838060544.0,1703.4583333333333,0.0003,19785.828125,24,75,543,40782,40883
2340023.0,-2.0875390714285715,-8.251977920532227,198210060288.0,1695.4285714285713,0.0003,74489.140625,28,75,629,47371,47472
20432996.0,-2.1144198125000004,-6.845693588256836,24437621522432.0,1791.34375,0.0003,620486.25,32,79,718,57222,57323
68832888.0,-2.105349694444444,-19.816232681274414,416124885794816.0,1793.0555555555557,0.0003,3145015.75,36,80,806,64449,64550
156624736.0,-2.125073225,-18.190792083740234,5803259415494656.0,1777.95,0.0003,13817234.0,40,79,894,71017,71118
247459488.0,-2.1412106590909086,11.42562198638916,4.540847301748326e+16,1760.9772727272727,0.0003,68125192.0,44,80,967,77382,77483
168672112.0,-2.112518229166667,29.245107650756836,2338708745355264.0,1739.1666666666667,0.0003,36220440.0,48,78,1060,83379,83480
73512432.0,-2.12713875,25.06085777282715,4483358520246272.0,1765.6153846153845,0.0003,2958297.75,52,79,1151,91711,91812
76470608.0,-2.4866371428571434,20.88140296936035,1750984346828800.0,1775.6964285714287,0.0003,300785.0,56,79,1258,99338,99439
58452528.0,-2.474367,6.832070350646973,624265107865600.0,1819.5,0.0003,20151.607421875,60,79,1369,109069,109170
46487020.0,-2.4636306250000004,0.5555768013000488,188033265565696.0,1812.59375,0.0003,8411.7197265625,64,79,1458,115905,116006
46827160.0,-2.4083879264705885,0.03588486462831497,11943493500928.0,1760.8235294117646,0.0003,7093.30810546875,68,78,1530,119635,119736
44195788.0,-2.3850274861111114,0.08197025954723358,10219084054528.0,1774.9166666666667,0.0003,5096.31982421875,72,79,1615,127693,127794
38032160.0,-2.387022644736842,-0.012730926275253296,2563060793344.0,1745.907894736842,0.0003,4283.970703125,76,77,1705,132588,132689
28988450.0,-2.5850146125,0.22570505738258362,9295228829696.0,1734.6875,0.0003,3405.825439453125,80,77,1800,138674,138775
